Feature ID,Feature Name,User Story,Expected Behaviour,Edge Cases,Test Case ID,Test Case Description,Test Type,Current Status,Defect Count,Severity,Notes,Last Tested Date
F001,Pack installation,As a player I want to import the mcpack so textures apply in Bedrock,Double-click or Open-in-Minecraft imports Cel_Band_Pack.mcpack without errors,Duplicate import; wrong file type; MC < 1.21,TC-F001-001,Import mcpack on Bedrock 1.21+ device,Manual,MANUAL_PENDING,0,High,Requires physical device,
F001,Pack installation,As a player I want to import the mcpack so textures apply in Bedrock,Pack appears in resource list as Cel Band Pack,Corrupt zip; missing manifest,TC-F001-002,Verify pack name in MC resource picker,Manual,MANUAL_PENDING,0,Medium,Requires physical device,
F002,Global resources,As a player I want global activation so all worlds use cel-band textures,Settings → Global Resources → Cel Band Pack active,Deactivate/reactivate; old worlds cached,TC-F002-001,Activate pack globally and load creative world,Manual,MANUAL_PENDING,0,High,Requires physical device,
F003,Per-world resources,As a player I want per-world activation for selective use,World edit → Resource Packs → add Cel Band Pack,Conflicts with global pack,TC-F003-001,Activate pack on single world only,Manual,MANUAL_PENDING,0,Medium,Requires physical device,
F004,Cel band block textures,As a player I want four-band stone surfaces,Calcite/stone/deepslate/bedrock show converted textures,Missing pack; wrong block placement,TC-F004-001,Verify calcite stone deepslate bedrock in creative,Manual,MANUAL_PENDING,0,High,Requires physical device,
F004,Cel band block textures,As a player I want four-band stone surfaces,Walls placed via converter use cobblestone (2-high) with converted texture,Wall at world height limit,TC-F004-002,Place wall tiles from sample build and verify cobblestone texture,Manual,MANUAL_PENDING,0,High,Requires physical device,
F005,Relic block textures,As a player I want relic palette on gold/emerald/copper,Gold emerald copper blocks use converted relic art,Combined with other RP,TC-F005-001,Verify relic blocks in-game,Manual,MANUAL_PENDING,0,Medium,Requires physical device,
F006,Item texture overrides,As a player I want converted item icons,Chorus fruit zombie head iron ingot prismarine trident use pack PNGs,Other item packs active,TC-F006-001,Verify item icons in inventory,Manual,MANUAL_PENDING,0,Low,Requires physical device,
F007,UI texture overrides,As a player I want cel-band UI chrome,Title and hotbar cap textures from pack apply if supported by Bedrock version,UI pack conflicts,TC-F007-001,Verify title/hotbar textures after import,Manual,MANUAL_PENDING,0,Low,Requires physical device,
F008,Build from source,As a developer I want one command to rebuild distributables,./scripts/build_pack.sh assembles mcpack and refreshes download/,Missing pack/; python missing,TC-F008-001,Run build_pack.sh exit 0,Automated,PASS,0,High,build_pack.sh exit 0,2026-06-22
F009,Pack assembly,As a developer I want committed PNGs zipped into mcpack,assemble_pack.py writes dist and download mcpack ≥8KB,Empty pack dir; bad manifest JSON,TC-F009-001,Dist mcpack exists and meets size floor,Automated,PASS,0,High,,2026-06-22
F009,Pack assembly,As a developer I want committed PNGs zipped into mcpack,Zip contains manifest pack_icon cobblestone and block textures,Missing icon,TC-F009-002,Zip lists required texture paths,Automated,PASS,0,High,,2026-06-22
F010,Pack validation,As CI I want post-build QA gate,validate_pack.py checks structure branding version sample level texture coverage,Stale dist; trademark in name,TC-F010-001,validate_pack.py exits 0,Automated,PASS,0,Critical,,2026-06-22
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,convert_level.py maps 12 tile types; sample yields 50 block placements,Unknown tile type defaults to stone; invalid origin,TC-F011-001,Sample level yields 50 block placements,Automated,PASS,0,High,blocks=50,2026-06-22
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,Wall tiles emit cobblestone (2 blocks tall),Previously missing cobblestone.png,TC-F011-002,Walls emit cobblestone blocks,Automated,PASS,0,High,walls use cobblestone,2026-06-22
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,Sand tile maps to sand block in TILE_TO_MC,Sand on elevated y,TC-F011-003,Sand tile in converter map,Automated,PASS,0,Medium,,2026-06-22
F011,Level conversion,As a builder I want tile JSON → Bedrock placements,Invalid origin rejected,Non-numeric origin,TC-F011-004,parse_origin rejects bad input,Automated,PASS,0,Medium,,2026-06-22
